epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,7809.96,0.56191,1.09918,0.40905,1.03787,0.92948,0.90565,0.9558,0.84064,0.92886,0.90505,0.95298,0.81002,0.53799,1.09758,0.38954,1.00759,0.003862,0.003862,0.003862
64,7936.84,0.55984,1.10058,0.41011,1.03823,0.94431,0.88762,0.95474,0.84003,0.94249,0.88882,0.9534,0.80887,0.53759,1.10653,0.39206,1.01139,0.003763,0.003763,0.003763
65,8061,0.55665,1.09024,0.40455,1.03791,0.93705,0.89062,0.95465,0.83922,0.93021,0.89724,0.95235,0.80803,0.53681,1.12137,0.39377,1.0095,0.003664,0.003664,0.003664
66,8185.06,0.55523,1.08921,0.40264,1.03359,0.9303,0.89844,0.95441,0.84106,0.93017,0.89844,0.95203,0.81047,0.53728,1.12196,0.39023,1.01388,0.003565,0.003565,0.003565
67,8308.65,0.55563,1.09334,0.39949,1.03413,0.92666,0.90356,0.95317,0.83907,0.92341,0.90565,0.95178,0.80726,0.53529,1.11672,0.39483,1.0133,0.003466,0.003466,0.003466
68,8432.5,0.55041,1.09041,0.39695,1.02856,0.93284,0.90153,0.95205,0.83854,0.93284,0.90153,0.95099,0.80882,0.53284,1.10317,0.39341,1.00683,0.003367,0.003367,0.003367
69,8556.14,0.55489,1.08779,0.40101,1.03192,0.93274,0.90008,0.95129,0.83744,0.93344,0.90182,0.9504,0.8082,0.53269,1.11398,0.38858,1.00872,0.003268,0.003268,0.003268
70,8679.82,0.54255,1.0686,0.39329,1.0248,0.938,0.89603,0.95094,0.83858,0.93184,0.90374,0.95009,0.80906,0.53514,1.10933,0.39033,1.01045,0.003169,0.003169,0.003169
71,8803.46,0.54448,1.08132,0.39386,1.02608,0.92676,0.90565,0.95083,0.83682,0.92789,0.90685,0.95043,0.80854,0.5345,1.11025,0.39308,1.01006,0.00307,0.00307,0.00307
72,8927.36,0.54839,1.07188,0.39336,1.02392,0.92616,0.90745,0.95232,0.84023,0.92709,0.90931,0.95095,0.80993,0.53009,1.11133,0.39792,1.0034,0.002971,0.002971,0.002971
73,9050.91,0.54758,1.06103,0.38968,1.02531,0.92586,0.90264,0.95018,0.83873,0.9284,0.90325,0.95054,0.8102,0.5309,1.11517,0.39254,1.00857,0.002872,0.002872,0.002872
74,9174.56,0.54382,1.06647,0.38652,1.02552,0.92824,0.90181,0.94966,0.83843,0.92886,0.90241,0.94969,0.80946,0.53143,1.11381,0.39202,1.00787,0.002773,0.002773,0.002773
75,9298.15,0.54563,1.06205,0.38473,1.02513,0.93548,0.89747,0.95214,0.83983,0.93611,0.89807,0.94992,0.81016,0.53188,1.11727,0.39073,1.00696,0.002674,0.002674,0.002674
76,9421.68,0.53876,1.05888,0.38636,1.02161,0.93044,0.90144,0.95128,0.83957,0.93455,0.90264,0.95114,0.81023,0.5295,1.11916,0.38866,1.004,0.002575,0.002575,0.002575
77,9545.55,0.53623,1.04903,0.38406,1.01893,0.92904,0.90625,0.95028,0.83985,0.93199,0.90592,0.95011,0.80844,0.5287,1.12005,0.38814,1.00405,0.002476,0.002476,0.002476
78,9667.31,0.53697,1.04653,0.38104,1.01999,0.92875,0.90865,0.95175,0.84015,0.93354,0.90745,0.95147,0.8096,0.52918,1.11653,0.38637,1.00454,0.002377,0.002377,0.002377
79,9786.83,0.53363,1.0451,0.37525,1.01719,0.93067,0.90348,0.95083,0.83928,0.93254,0.90546,0.95016,0.80911,0.53002,1.12222,0.38595,1.00216,0.002278,0.002278,0.002278
80,9906.29,0.53029,1.03676,0.36881,1.01465,0.93348,0.90024,0.95113,0.83981,0.93358,0.90388,0.95098,0.80912,0.5319,1.12329,0.38628,1.00425,0.002179,0.002179,0.002179
81,10025.6,0.53627,1.04585,0.37575,1.01832,0.93003,0.90259,0.95113,0.83839,0.93065,0.90319,0.95035,0.80936,0.53365,1.12006,0.38671,1.00604,0.00208,0.00208,0.00208
